id,name,end_page,section_id,level_id,created_at,updated_at,writer,publisher,start_page,link,brief,language_id,type_id
36,كيف تكونان أما وأبا أفضل؟,342,3,1,11/28/2022 2:09,4/3/2023 2:28,كاساندرا جاردين,المركز القومي للترجمة,1,https://www.osboha180.com/rack/bookDesc?id=46,محاضرات الأمومة والأبوّة أصبحت من الأخبار المهمّة، ليس فقط للوالدين اللذين لا يستطيعان السّيطرة على أولادهما، ولكن أيضاً للآباء العاديّين القلقين الذين وجدوا أنّ تطبيق مهارات بسيطة من دروس الأمومة والأبوّة يمكن أن يؤدّي إلى أبناء أكثر سعادة وهدوءاً، وإلى حياة عائليّة أكثر متعة. ولكنّ معظم الآباء لا يرغبون فى الذّهاب إلى محاضرات الأمومة والأبوّة، ولذلك جمعت كاسندرا جاردين تجارب ومهارات أفضل معلمين فى بريطانيا وهما نويل جانيس نورتون، ولوك سكوت، لتقدّم الأدوات العمليّة التى يمكن أن يستخدمها أيّ أمّ أو أب على الفور .,1,1
38,حجج فاسدة تجعلنا نبدو أغبياء,339,1,1,11/28/2022 2:09,4/21/2023 0:40,جوليان باجيني,المركز القومي للترجمة,1,https://www.osboha180.com/evaluation/books/345.pdf,"هذا الكتاب ليس مقصوداً به الاسترخاء والاستمتاع، بل الاستفزاز والتحدى والاستعداد لمراجعة ما تسمعه وتقرؤه، ففى هذا الكتاب يمسك ""جوليان باجينى"" بتلابيب مائة حجة فاسدة يستخدمها البعض لمحاولة التأثير علينا فى كل المجالات، ونصدقها فى أحيان كثيرة، لكن ""باجينى"" يقرع جرس الإنذار للانتباه لها ورفضها وتمييز غثها حتى لا نبدو أغبياء عندما نصدقها ونتعامل معها كحقائق.. الكتاب يدعو للتفكير ثم التفكير، ولا يدع القارئ يهنأ بالاستكانة إلى الحجج التى تقدم له يومياً فى كل المجالات.",1,1
39,الأذكياء,318,6,1,11/28/2022 2:09,4/4/2023 2:10,ابو الفرج عبد الرحمن بن علي بن الجوزي,دار إحياء العلم بيروت,1,https://www.osboha180.com/evaluation/books/346.pdf,"إنّ من أجلّ الأشياء موهبة "" العقل"" ، فإنه الآلة في تحصيل معرفة الإله، وبه تضبط المصالح، وتلحظ العواقب، وتدرك الغوامض، وتجمع الفضائل؛ ولمّا كان العقلاء يتفاوتون في موهبة العقل ويتباينون في تحصيل ما يتقنه من التّجارب والعلم، فقد قام المؤلف بجمع أخبار الأذكياء الذين قويت فطنتهم وتوقّد ذكاؤهم، ووضعها في هذا الكتاب القيّم، وذلك من أجل ثلاثة أهداف، هي:
- معرفة أقدارهم بذكر أحوالهم.
- والثاني تلقيح ألباب السامعين إذا كان فيهم نوع استعداد لنيل تلك المرتبة.
- والثالث تأديب المعجب برأيه إذا سمع أخبار من تعسَّر عليه لحاقه.",1,1
42,أربعون خطأ في نظرية التطور,135,2,2,11/28/2022 2:09,4/5/2023 19:50,هيثم طلعت,//,1,https://www.osboha180.com/evaluation/books/349.pdf,"يتناول الكتاب العديد من الأخطاء في نظريّة التطوّر، قصد دحضها بتفسيرات وفرضيّات فلسفيّة وبطريقة علميّة، في لغة سهله مفهومة وبسيطة.
يمتاز الكتاب بصغر الحجم، وبساطة العبارة، مع ضبط كل معلومة علمية بمصدرها، إضافة لاعتماده على أحدث الأبحاث العلميّة المُفنّدة لهذه النظريّة.",1,1
43,عندما تغير العالم,381,5,1,11/28/2022 2:09,4/2/2023 1:10,جميس بيرك,عالم المعرفة,1,https://www.osboha180.com/evaluation/books/350.pdf,يتحدث الكتاب عن اللحظات المهمة ، التي ساهمت في تغيير العالم وكان لها الدور الأكبر على البشرية في صقل ما هي عليه الان .,1,1
44,تهذيب سير أعلام النبلاء,1798,9,2,11/28/2022 2:09,4/27/2023 18:38,شمس الدين الذهبي,دار الاندلس,1,https://www.osboha180.com/rack/bookDesc?id=54,"كتاب سير أعلام النبلاء يعتبر من أمتع كتب التراجم التي يستفيد منها القارئ والباحث، وهو عبارة عن اختصار لكتابه الضخم (تاريخ الإسلام)، وله كتب أخرى مفيدة ونافعة في تراجم الرجال مثل : كتابه الضخم (تاريخ الإسلام) وكتاب (ميزان الاعتدال في نقد الرجال) وكتاب (تذكرة الحفاظ) وغيرها.
ولكن طبقات الكتاب ابتدأت من عصر الصحابة إلى عصر المؤلف.",1,1
47,النبأ العظيم,216,9,2,11/28/2022 2:09,4/27/2023 16:04,د. محمد عبد الله دراز.,دار الثقافة,1,https://www.osboha180.com/rack/bookDesc?id=57,"تكمن أهمية الكتاب في أن مؤلفه استطاع أن يثبت بالأدلة العقلية والتاريخية والحالية بأن القرآن كلام الله , وأنه يستحيل أن يكون مكذوبا أو مختلقا أو محرفا . - يشعر القارئ لهذا الكتاب بأنه أمام مشروع عقلي ضخم لا يجد أمامه إلا التسليم بقوة أدلته وصرامة منهجيته . - وهو بحق من أبدع ما كتبه المعاصرون , ومن أقوى ما يؤسس القناعة بصدق القرآن ومن أشد ما يبدد الشكوك حول مصدره وصدقه . المواضيع التي تناولها: - البحث الأول ""في تحديد معنى القرآن"". - المعنى اللغوي والاشتقاقي لكلمتي: ""قرآن"" و""كتاب"". - سر التسمية بالاسمين جميعًا. - سر اختصاص القرآن بالخلود وعدم التحريف، دون الكتب السابقة. - هل يمكن تحديد القرآن تحديدًا منطقيًّا؟ - عناصر التعريف المشهور للقرآن. - البحث الثاني: ""في بيان مصدر القرآن"". - تمهيد. - تحديد الدعوى أخذًا من النصوص القرآنية. - طرف من سيرته بإزاء القرآن. - فترة الوحي في حادث الإفك. - مخالفة القرآن لطبع الرسول -صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ- وعتابه الشديد له في المسائل المباحة. - توقف الرسول صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ -أحيانًا- في فهم مغزى النص حتى يأتيه البيان. - موقف الرسول -صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ- من قضية المحاسبة على النيات. - مسلكه في قضية الحديبية. - منهجه في كيفية تلقي النص، أول عهده بالوحي. - طرف من سيرته العامة.",1,1
49,المؤمن الصادق,246,4,3,11/28/2022 2:09,4/19/2023 17:19,إيريك هوفر,العبيكان,1,https://www.osboha180.com/evaluation/books/60b.pdf,يتعامل هذا الكتاب مع خصائص تشترك فيها كل الحركات الجماهيرية سواء كانت دينية أم اجتماعية أم قومية ، ولا يزعم الكتاب أن هذه الحركات متماثلة ولكنه يذهب إلى أنها تشترك في صفات رئيسية تخلق بينها نوعاً من الشبه العائلي ، تولد كل الحركات الجماهيرية في نفوس أتباعها استعداداً للموت وانحيازاً إلي العمل الجماعي ، وجميعها ، بصرف النظر عن المذهب الذي تدعوا إليه ، أو البرنامج الذى تعنيه ، تولد التطرف والحماسة والأمل المتقد والكراهية وعدم التسامح وجميعها قادرة على تفجير طاقات قوية من الحراك في بعض مناحي الحياة وجميعها تتطلب من اتباعها الإيمان الأعمى والولاء المطلق,1,1
50,The True Believer,227,13,2,11/28/2022 2:09,4/24/2023 21:23,Eric Hoffer,time Reading program special edition,1,https://www.osboha180.com/rack/bookDesc?id=61,"A stevedore on the San Francisco docks in the 1940s, Eric Hoffer wrote philosophical treatises in his spare time while living in the railroad yards. The True Believer -- the first and most famous of his books -- was made into a bestseller when President Eisenhower cited it during one of the earliest television press conferences.Completely relevant and essential for understanding the world today, The True Believer is a visionary, highly provocative look into the mind of the fanatic and a penetrating study of how an individual becomes one.",2,1
51,النظرات والعبرات,782,6,2,11/28/2022 2:09,4/4/2023 2:53,مصطفى لطفي المنفلوطي,دار الجيل,1,https://www.osboha180.com/evaluation/books/62b.pdf,"كتاب قصصيّ أدبيّ للأديب المصريّ مصطفى لطفي المنفلوطي، وهو كاتب ومؤلّف نابغ في الإنشاء والأدب العربيّ، اِنفرد بأسلوب نقيّ في مقالاته، ويجمع كتابه ثلاثة أجزاء. يضمّ مجموعة من مقالات في الأدب الإجتماعيّ، والنّقد، والسّياسة، والإسلاميّات، وأيضاً مجموعة من القصص القصيرة الموضوعة أو المنقولة، جميعها كانت قد نشرت في الصّحف، وقد بدأ كتابتها منذ عام 1907 في بعض الصّحف المحليّة. 
عرف مصطفى لطفي المنفلوطي بأسلوبه السّهل والبسيط حيث أنّه يقصّ علينا قصصًا بكلماتٍ سهلة الفهم.",1,1
52,عشرة أمور تمنيت لو عرفتها قبل دخولي الجامعة,169,1,1,11/28/2022 2:09,4/20/2023 14:13,ياسر عبد الكريم بكار,دار وجوه للنشر والتوزيع,1,https://www.osboha180.com/rack/bookDesc?id=63,"يتطرق الدكتور ""ياسر عبد الكريم بكار"" في هذا الكتاب إلى كافه جوانب الحياة الجامعية لدى كل من الشاب والفتاة علميا ، أكاديميا، روحانيا، اجتماعيا، وحتى على الجانب العاطفي؛ فيبين بذلك كل جوانب الصعاب والمشاكل الحياتية الجامعية التي من شأن كل طالب مقبل على الجامعه الولوج فيها.. ينقسم الكتاب إلى عشرة فصول كل فصل مرتبط بنظيره السابق بشكل أو بآخر، وهم على الترتيب التالي: 1 - حياة جديدة .... رتبها صح ! 2-حياتك الأكاديمية. 3-مهارات نفسية. 4-حياة جديدة ..... علاقات جديدة. 5-نظم وقتك. 6-من أجل حياة مهنية ناجحة. 7-بعيدا عن الدراسة. 8 -الحياة والجنس والزواج. 9- هكذا دمروا حياتهم. 10-وداعا..... حياتك بعد التخرج. يستهل المؤلف الفصل الأول بتطرقات الحياة الأكاديمية لدى الطالب\ة من كافة النواحي والجوانب؛ ففي مستهل كلامه يعطي الكاتب القارئ جرعة من التحفيز للدراسة الجامعية بطرحه أفكار تحت مسمى: أفكار أساسية من أجل بداية ناجحة لحياتك.",1,1
53,السيدة عائشة بنت أبي بكر الصديق رضي الله عنهما,208,12,2,11/28/2022 2:09,4/24/2023 15:15,خالد بن محمد الحافظ العلمي,دار الزمان للنشر والتوزيع,5,https://www.osboha180.com/rack/bookDesc?id=64,"دفاعا عن عرض رسولنا صلى الله عليه وسلم، ذاك الذي برأه الله تعالى من السماء السابعة، لا تكون النصرة أفضل من التعلم والمحبة، هذا الكتاب يدرس مدرسة السيدة أم المؤمنين عائشة رضي الله عنها وعن أبيها، حول كيفية تعاملها وخلقها ومدرستها. 
كتاب مميز للغاية للإنسان المسلم، وخاصة المرأة المسلمة.",1,1
54,فنجان من التخطيط,322,1,2,11/28/2022 2:09,4/21/2023 2:58,عبدالله عيد العتيبي,دار إقرأ,1,https://www.osboha180.com/evaluation/books/65b.pdf,يساعدك الكتاب باحترافية عالية وأسلوب شيق على الانتقال من وضعك الحالي إلى ما تطمح بالوصول غليه عبر سبع محطات أساسية : الأولى : الإستعداد : تجيب فيها عن السؤال السهل الصعب (من أنا ؟) ما نمط شخصيتي؟ مالها وما عليها ، وذلك من خلال القيام برحلة داخلية تشمع أربع مراحل ضرورية هي اكتشاف وتقييم وتقويم وتقدير الذات . إنك عزيزي القارئ، ما إن تضع عينيك على أول حرف من أول كلمة إلا وتجد نفسك تغوص في أغوار هذا الفنجان لتفاجأ أنك قد أتيت عليه كلية وانهيت قراءته. في هذا الكتاب تجد الأدب والسياسة والحكمة والعلم والفلسفة وعلم النفس بل تجد كل العلوم الدنيوية وتعاليم الأخروية المبهرة ببعض القصص من تجارب الحياة للأولين والآخرين. ان كتاب يستحق القراءة ليس لمرة واحدة بل لمرات عديدة لأنه ترويج سياحي يشجع على القراءة ويعيشك المتعة فيها,1,1
55,أغنى رجل في بابل,160,10,1,11/28/2022 2:09,4/19/2023 18:01,جورج كلاسون,اصدارت مكتبة جرير,1,https://foulabook.com/ar/book/%D8%A3%D8%BA%D9%86%D9%89-%D8%B1%D8%AC%D9%84-%D9%81%D9%8A-%D8%A8%D8%A7%D8%A8%D9%84-pdf,"كان أركاد أغنى رجل في بابل.. وقد قصده أصدقاؤه القدامى الذين لم يفلحو في الوصول إلى الثراء باحثين عن السر وراء الثراء، وقد قام بمساعدتهم ومساعدة أهالي بابل وأخبرهم بأسرار الثراء بأسلوب شيق. إذا قرأت الكتاب فستجده مليئاً بالقصص التي تثري خبرتك.. أما النقاط الأساسية في الكتاب سأوردها بإيجاز..
احتفظ بجزء من إيراداتك.",1,1
57,DON'T BE SAD,476,13,1,11/28/2022 2:09,4/3/2023 19:29,Aaidh Al-Qarni,Internationl Islamic Publishing House,1,https://www.osboha180.com/evaluation/books/68b.pdf,"At a time in which the Muslims are beset with trials from every periphery and within, comes this heartening book rooted in the commandments of Allah (SWT), the Sunnah and the excellent guidance and examples of the Muslims that have come before us.
>
Don't Be Sad is an absolute must-read for all people. It is full of practical advice on how to replace it with a pragmatic and ultimately satisfying Islamic outlook on life. It exposes to the modern reader how Islam teaches us to deal with the tests and tribulations of this world.
>
So, take heart and hold firmly onto the rope of Allah.
>
This book is.....just beyond words, its a total must read. I got it from Saudi and the Publishers are International Islamic Publishing House but i'm quite sure they sell them in Islamic book shops around.",2,1
58,العادات السبعة للناس الأكثر فاعلية,423,1,2,11/28/2022 2:09,4/21/2023 2:56,ستيفن آر.كوفي,جرير,1,https://www.osboha180.com/evaluation/books/69b.pdf,الكتاب الاكثر مبيعا في أمريكا والعالم بيعت منه اكثر من 15 مليون نسخة كتاب يسبر أغوار الشخصية الانسانية ليخرج لنا بالعادات التي تنظم له سلوكه وتؤثر على حياته بفعالية كبيرة بشكل ايجابي .. هل تريد أن تكون ناجحا ؟؟ هل تريد قراءة كتاب يغير حياتك بشكل ايجابي؟؟ عليك بهذا الكتاب ..,1,1
59,كيف تصبح جيداً في أي شيء في ساعتين,269,1,1,11/28/2022 2:09,4/15/2023 2:26,هارتلي و كارنيتش,مكتبة جرير,1,https://www.osboha180.com/evaluation/books/72b.pdf,"تعد قدرتك على التواصل مع الآخرين ضرورية ، سواء كنت تحاول اكتساب ثقة أحدهم أو إيضاح وجهة نظرك أو تقوية علاقة ما . وأحد أثرى وأقوى الأساليب لتأسيس هذه الأرضية المشتركة - القدرة على التواصل - هو إظهار براعتك أمام جمهورك المستهدف في مجال خبرته . لكن ما الذي يمكنك فعله إذا لم تكن لديك المعرفة المطلوبة في مجال معين ؟ ( فمحاولة التظاهر بمعرفة موضوع معين لا تعرف عنه أي شيء هي أمر شائك بالطبع ، وقد ينقلب بسهولة ليؤدي إلى نتائج عكسية ! ) . هذا الكتاب يقدم لك منهجية مجربة ويسهل إتقانها لتصبح خبيرا بشكل فوري في اكتساب كميات صغيرة من المعلومات بشكل سريع وتوظيفها ، بحيث يشعر جمهورك بمعرفتك الواثقة لهذا الموضوع . سيوضح لك هذا الكتاب كيف تجري "" البحث "" المطلوب بسرعة ، وكيف تقدم معلوماتك في أثناء الحوار في اللحظات المناسبة ، وكيف تطرح النوع الملائم من الأسئلة التي تشير إلى اطلاعك على هذا الموضوع ، وكيف تقرأ سلوكيات الآخرين لتحدد متى يقتنعون بخبرتك . إن هذا الكتاب القيم - المليء بالإستراتيجيات العملية المجربة لإقناع الآخرين بمعرفتك بما تتحدث عنه - لن يمكنك فقط من اكتساب الهيبة المرتبطة بالتأثير في الآخرين باعتبارك خبيرا ، بل إنه سيساعدك على تكوين علاقات مدهشة مع أي شخص فقط بإظهار انتباهك ومعرفتك لأكثر الموضوعات التي تثير اهتمامه : مجال خبرته . "" لقد فعلها جريجوري هارتلي و ماريان كارينتش مرة أخرى !! وإن فصل "" لغة جسد الخبراء وفناني الخداع وبقية الناس "" وحده يستحق الثمن المدفوع في الكتاب . كما أن وصف المؤلفين لكيفية قراءة أفعال وتصرفات الأصدقاء والنقاد لفهم أهدافهم هو أمر مهم ولا يقدر بثمن لأنه سيساعدك على تحقيق أهدافك الخاصة "" .",1,1
61,لأنك الله,192,9,1,11/28/2022 2:09,4/17/2023 13:25,علي بن جابر الفيفي,دار الحضارة للنشر والتوزيع,1,https://www.osboha180.com/rack/bookDesc?id=74,الله معك وحولك من خلفك ومن أمامك، الله حافظك ومعينك وراحمك وغافر ذنبك.. اجتمعت فيه كل الصفات والأسماء العظيمة والجليلة اللائقة بجلال وجهه وعظيم سلطانه. لن تعرف الله حقا إن أنت لم تعرفه بأسمائه ومعانيها. وهذا الكتاب بوابتك للدخول إلى عالم بعض أسماء الله ومعانيها بطريقة جميلة ورائعة يمكن للجميع أن يفهمها لتحيي قلبك وتغذي روحك.,1,1
62,خطوتك الأولى نحو فهم الاقتصاد,107,10,2,11/28/2022 2:09,4/20/2023 22:27,جاسم محمد سلطان,مؤسسة أم القرى,1,https://www.osboha180.com/evaluation/books/75b.pdf,"خطواتك الأولى نحو فهم الاقتصاد هو كتاب ألفه الدكتور جاسم سلطان , وهو جمع لأهم الأفكار التي ألقاها في محاضرات برنامج إعداد القادة حول موضوع الاقتصاد , وقد صيغة مفرادت الكتاب بطريقة مبسطة على نفس النسق الذي تطرح فيه مادة المحاضرات . ويعتبر هذا الكتاب خطوة أولى نحو فهم الاقتصاد , وفاتح شهية لنيل القارئ بعد ذلك من مائدة كتب الاقتصاد المتخصصة , وهي خطوة تتناول الأفكار الأساسية التي تمكن القارئ من استقبال الرسائل الاقتصادية اليومية من الخارج وإدارتها في ذهنه ليفهم مايدور حوله . ويتناول الكتاب العناوين الكبرى التالية في عالم الاقتصاد : علم الاقتصاد . نشأة الاقتصاد . إجمالي الناتج القومي . النقود و البنك و البورصة . __",1,1
63,التفكير السياسي والنظرية السياسية والمجتمع المدني,498,7,3,11/28/2022 2:09,4/18/2023 5:41,ستيفن ديلو,//,1,https://www.osboha180.com/evaluation/books/92b.pdf,التفكير السياسي والنطرية السياسية والمجتمع المدني التفكير السياسي والنظرية السياسية والمجتمع المدني يعد هذا الكتاب بابا لفهم السياسة بين اصولها النظرية والتطببقية والتفكير السياسي تطرق للحديث فيه عن الصلة بين النظرية السياسية والتفكير السياسي والمجتمع المدني الديمقراطي والحل الليبيرالي اي المقاربات الكلاسيكية والمسيحية والميكيافيلية وكذا الفضيلة المدنية والمجتمع العادل لأفلاطون وكتب لنا عن رد ارسطو على افلاطون والمفاهيم المسيحية للفضيلة المدنية عرج بعدها للتطرق الى المقاربات الحديثة والمعاصرة في تناول المجتمع المدني عند توماس هوبز وجون لوك في مفهوم السلطة السياسية ومبراراتها وجون جاك روسو في الأنانية وحب الذات ونظرية العقد الاجتماعي كما لم يغفل النظام الدولي الجديد والعقل العام عند كانط وفنومنولوجيا الروح عند هيجل الدولة والفضيلة المدنية ، وتحدث عن منظومة التفاضل والتكامل عند جون ستيوارت ميل والليبيرالية السياسية والعقل العام لدى جون رولز والكثير عما لايمكن ذكره,1,1
64,فن الحرب,228,11,1,11/28/2022 2:09,4/4/2023 6:36,سون أتزو,دار الكتاب العربي,1,https://www.osboha180.com/evaluation/books/93b.pdf,"#هل_تعلم : أن قيادة القوات الأمريكية حرصت أثناء ذهابها إلى دول الخليج الأول على أن يحمل كل جندي أمريكي نسخة من كتاب فن الحرب ، إضافة إلى أن الشركات اليابانية تستخدمه في مجالات التجارة. ولأننا في زمن ثورات وحروب، نقدم هذا الكتاب : لم يكن من الغريب أن يعتبر كتاب ""فن الحرب"" أحد أهم مائة كتاب في تاريخ البشرية. فقد اشتهر هذا الكتاب في المحافل العسكرية وبين المتخصصين في العلوم الاستراتيجية بأنه ""الكتاب المقدس للدراسات العسكرية"". وفصول الكتاب الثلاثة عشر لا تأتي سردا لأحداث معينة، بقدر ما هي جمل أو فقرات إشارية ذات مغزى تكتيكي عام، سوف نختار بعضها لتوضيح أفكار الحكيم الصيني سون أتزو الصالحة لكل زمان ومكان. أول ترجمة لهذا الكتاب كانت منذ مائتي عام إلى الفرنسية، وأن القادة العسكريين استفادوا منه في عملية ""عاصفة الصحراء"" 1991، وقبلها استفاد منه نابليون والقادة الألمان، ويتضح من ذلك أن الكتاب الذي وضع منذ حوالي 25 قرنا لا يزال صالحا للتطبيق حتى اليوم في مجال إدارة الصراع، ليس الصراع العسكري فحسب، ولكن الصراع على عدة مستويات: الفردية، والجمعية، والقومية، والدولية، وليس في المجالات العسكرية فحسب، ولكن أيضا في المجالات السياسية والإدارية وحتى الرياضية. كتاب ""فن الحرب"" الذي حرصت القيادة الأميركية على أن يحمله كل جندي ذهب إلى حرب تحرير الكويت لقراءته، والذي اعتادت الشركات اليابانية على أخذ النصائح التي حفل بها من أجل تطبيقها. هذا الكتاب الذي يمكن تطبيق ما جاء به في عالم الاقتصاد والتجارة والسياسة والرياضة، لا يركز على تحقيق النصر فحسب، بل أيضا على تجنب الهزيمة وتقليل وتفادي الخسائر بأكبر قدر ممكن. كما يشرح كيف يمكن أن يتحقق النصر مع تجنب القتال إذا كان ذلك ممكنا.",1,1
65,كوتلر يتحدث عن التسويق,267,10,2,11/28/2022 2:09,4/20/2023 23:52,فيليب كوتلر,مكتبة جرير,1,https://www.osboha180.com/evaluation/books/94b.pdf,يحتوي هذا الكتاب على نصائح مبتكرة وفعالة في مجال التسويق وفيه أحدث الأفكار حول كيفية العثور على العملاء وكسبهم والاحتفاظ بهم. فهو كتاب رائع عن التفوق في التسويق ومنه تنبع العديد من الاستراتيجيات، والتكتيكات، والخطوط الإرشادية العامة لتحسين فعالية التسويق وقيمة العميل. كما يحوي الكثير من الأفكار العميقة المثيرة، والحلول المبدعة التي ترشد المديرين التنفيذيين الذين يواجهون تحدي العملاء، وقوى السوق المتغيرة، والتكنولوجيا الجديدة,1,1
66,ملهمون,254,1,1,11/28/2022 2:09,4/21/2023 0:36,صالح بن محمد الخزيم,دار كلمات,1,https://www.osboha180.com/evaluation/books/101b.pdf,إن النجاح ليس عطية تعطى، ولا منتجاً يشترى، ولا إرثاً يورث، بل هو نتاج عمل جبار وسهر بالليل والنهار، وتدريب وإصرار، وتجاوز للعقبات، حتى تم تحقيقه بعد توفيق الله. وعلى مر العصور القديمة والحديثة وجد عظماء وعصاميون ناجحون لم يأتهم النجاح صدفة ولم يحصلوا عليه مجاملة، بل بلغوا منازله بإرادتهم الصلبة وهمتهم العظيمة وكافحوا حتى كتبت أسمائهم في سجلات التاريخ. وها أنا قد وضعت لك في هذا الكتاب العديد من القصص الملهمة التي أتمنى أن تزيد من تفاؤلك وإصرارك وتشعل حماسك وتقوي همتك وتهديك إلى الطريق الصحيح.,1,1
67,أستطيع أن أرى بوضوح الآن,427,1,2,11/28/2022 2:09,4/21/2023 3:11,واين داير,مكتبة مؤمن قريش,1,https://www.osboha180.com/evaluation/books/99b.pdf,إنها خلاصة حياة الكاتب الرائع د. واين داير عبر سنواته السبعين والتي استنتج فيها أنه لا توجد مصادفات في هذا الكون، وأن هذا الكون بأكمله غاية واحدة. لقد رأى د. واين بوضوح أن الحكمة تعمل على نحو دائم في حياته.فقد كان يتقدم بثقة تجاه حلمه الداخلي الخاص. ويعيش الحياة التي تخيلها لنفسه ويحب كل دقيقة منها مما جعل النجاح يطارده منذ ذلك الوقت.,1,1
68,ماذا خسر العالم بانحطاط المسلمين,264,2,2,11/28/2022 2:09,4/5/2023 1:04,ابو الحسن الندوي,مكتبة الايمان,1,https://www.osboha180.com/evaluation/books/Ali-Nadawi.pdf,"يتناول الكتاب حال العالم بالتّفصيل من العصر الجاهليّ مرورًا ببزوغ فجر الإسلام، وحتّى يومنا هذا، واصفًا حال البشريّة قبل وبعد اِنحطاط المسلمين. كما يدور حول فكرة مهمّة، وهي دور الإسلام في قيادة البشريّة، وتأثير تراجع دور المسلمين على العالم. لقد أحسّ الكاتب ما نحسّه جميعًا الآن من حسرة بالغة، وألم شديد.. وهو ما اِرتضته الدّول الإسلاميّة لنفسها من السّير في المؤخّرة وراء العالم الغربيّ، تميل إلى ما يميل، وتقبل حكمه فيما تعرض له من شؤونها، وترضى ما يقرّه من قيم حسب موازينه الخاصّة. وكانت نتيجة ذلك أن فقد العربيّ -والمسلم بعامّة- ثقته بنفسه وجنسه ودينه ومعاييره، وقيمه العالية التي كان يحرص عليها أجداده وأسلافه الأماجد، ويحلّونها من أنفسهم المكان العليّ المرموق.. تلك هي علّتنا التي يجب أن ندركها  وأن نعِيَ بها، ففيها تتركّز مشكلتنا، أو مشاكلنا التي يجب علينا أن نجد الحلّ الناجع لها من صميم ديننا وتاريخنا وتراثنا الرّوحي والعقلي الخالد.. وتلك هي القضيّة التي عُني بها مؤلّف هذا الكتاب العظيم ""ماذا خسر العالم بانحطاط المسلمين""..",1,1
69,ابدأ بالأهم ولو كان صعباً,132,1,1,11/28/2022 2:09,4/20/2023 17:37,برايان تريسي,العبيكان,1,https://www.osboha180.com/rack/bookDesc?id=100,ابدأ بالأهم ولو كان صعباً لـ برايان تريسي ، تحوى صفحات هذا الكتاب على واحد وعشرين مبدأ تعرفون منها كيف تشقون طريقكم بسرعة في حياتكم المهنية حيث تُعد هذه المبادئ هي الأشد تأثيراً على الشخصية ، إن هذه الطرائق والأساليب والإستراتيجيات عملية ، مجربة ، وسريعة التأثير ، إن كل فكرة من أفكار هذا الكتاب تركز حول زيادة المستويات الشاملة للإنتاج ، والإنجاز ، ومقدار الإنتاج ، ولكى تعطيك قيمة أكبر في كل ما تفعله ويمكنك أن تطبق الكثير من هذه الأفكار في حياتك الشخصية ، إن مفتاح النجاح هو العمل وهذه المبادئ تجعل العمل سريعاً ومتطوراً في مجال الإنجاز والنتائج ، وكلما أسرعت في تعلمها وتطبيقها تقدمت في مجال حياتك المهنية بشكل بديهي .,1,1
71,حديث المساء,284,6,1,11/28/2022 2:09,4/3/2023 1:35,أدهم شرقاوي,دار كلمات للنشر والتوزيع,1,https://www.osboha180.com/evaluation/books/102b.pdf,الكتاب عبارة عن مجموعة من القصص الجميلة ذات الأسلوب الماتع الشيّق والرّاقي البسيط، والتي لا تخلو من حكمة أو عبرة قد تفيدنا في الحياة وتساعدنا على تخطّي مطبّاتها.,1,1
72,أول مرة أصلي وكان للصلاة طعم آخر,110,9,1,11/28/2022 2:09,4/21/2023 8:53,خالد أبو شادي,دار الراية للنشر والتوزيع,1,https://www.osboha180.com/rack/bookDesc?id=103,"صحوة جديدة لاستشعار الصلاة بطعم آخر 
وهي رسالة أوجِّهها إلى نفسي وإلى الأكثرية الغالبة من المصلين الذين يصلون وسط كثرة فرَّطت في صلاتها فلم تصلِّ بالأصل أو لم تحافظ على الصلاة، وأقل القليل من هؤلاء المصلين هو الذي يقيم للصلاة ركوعها وسجودها وخشوعها، ويلتذ بها، فإذا رأيت المسجد يغصُّ بالمصلين فاعلم أن مقيمي الصلاة بينهم قلة.",1,1
73,اني رزقت حبها,84,9,1,11/28/2022 2:09,4/17/2023 14:42,محمد سالم الخضر,مبرة الآل و الأصحاب,1,https://www.osboha180.com/rack/bookDesc?id=113,"في كتاب ""إنى رزقت حبها"" بعض جوانب العظمة في سيرة أم المؤمنين السيدة خديجة - رضي الله عنها-. والمميز في هذا الكتاب أنه جمع كل ماتم ذكر فيه ام المؤمنين خديجة عليها السلام من مواقف و أحاديث و كذلك الجزء النادر جدا و هو فترة قبل زواجها من النبي صلى الله عليه و سلم وخديجة عليها السلام لم تأخذ حقها في التأليف عنها و ذكر دورها العظيم في تاريخ الاسلام و دورها كسند للدعوة الاسلامية في بدايتها.. كذلك عن حب النبي - صلى الله عليه و سلم - لها و مكانتها عنده و مكانتها في الاسلام..",1,1
